config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS5d,5,332.535809,303.506744,302.060646,302.027
no_restart,MS5d,6,322.68182,302.060646,302.02692,302.027
no_restart,MS5d,7,320.636644,306.25069,302.02692,302.027
no_restart,MS5d,8,320.886085,311.153296,311.100761,311.101
no_restart,MS5d,9,330.244613,315.469874,315.063468,310.274
no_restart,MS6d,1,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,10,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,2,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,3,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,4,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,5,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,6,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,7,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,8,82.18675,82.18675,82.18675,82.1867
no_restart,MS6d,9,82.18675,82.18675,82.18675,82.1867
no_restart,MS7d,1,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,10,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,2,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,3,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,4,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,5,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,6,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,7,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,8,189.016883,189.016883,189.016883,189.017
no_restart,MS7d,9,189.016883,189.016883,189.016883,189.017
no_restart,MS8d,1,219.685142,205.204805,205.204805,205.205
no_restart,MS8d,10,220.552223,211.332267,211.310744,211.311
no_restart,MS8d,2,216.346346,210.664226,207.529124,206.436
no_restart,MS8d,3,219.170017,209.526392,209.507714,207.671
no_restart,MS8d,4,220.155057,213.29494,213.29494,211.891
no_restart,MS8d,5,212.16158,208.900625,208.744325,207.68
no_restart,MS8d,6,220.040107,211.883834,210.081541,210.082
no_restart,MS8d,7,222.018247,210.228203,207.408485,207.408
no_restart,MS8d,8,220.604692,209.4875,205.759919,205.76
no_restart,MS8d,9,217.210389,208.333687,208.333687,207.604
no_restart,MS9d,1,157.468275,149.965337,145.406667,145.407
no_restart,MS9d,10,155.901003,150.500186,148.542582,148.543
no_restart,MS9d,2,157.693083,149.2796,148.064098,147.701
no_restart,MS9d,3,156.727896,150.784615,150.654519,150.483
no_restart,MS9d,4,156.705091,148.814037,147.699876,147.503
no_restart,MS9d,5,158.408947,153.177687,152.827556,152.594
no_restart,MS9d,6,156.14324,150.741697,149.226461,149.073
no_restart,MS9d,7,156.939584,148.645692,148.00865,145.723
no_restart,MS9d,8,153.662559,149.994808,147.272481,146.755
no_restart,MS9d,9,153.618647,146.379259,144.079066,143.624
greedy_restart_eta2000,MS10d,1,185.452499,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,10,186.606888,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,2,182.96915,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,3,184.018392,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,4,185.452499,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,5,182.156343,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,6,184.018392,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,7,186.576024,181.381813,181.381813,181.382
greedy_restart_eta2000,MS10d,8,184.162356,181.381813,181.381813,181.382
