config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS28d,6,364.646928,359.096264,352.247727,352.248
no_restart,MS28d,7,365.637228,365.637228,358.167725,355.108
no_restart,MS28d,8,376.854812,371.226234,359.280173,359.28
no_restart,MS28d,9,370.665162,370.665162,358.163607,357.997
no_restart,MS29d,1,376.782978,371.823979,368.241845,368.242
no_restart,MS29d,10,383.441125,370.827637,364.563269,363.843
no_restart,MS29d,2,377.224528,370.854566,369.499892,369.5
no_restart,MS29d,3,375.740054,362.030793,361.743689,361.15
no_restart,MS29d,4,385.77257,369.877635,369.10608,369.063
no_restart,MS29d,5,388.764608,371.185497,370.217143,370.217
no_restart,MS29d,6,378.471586,364.485859,364.485859,363.799
no_restart,MS29d,7,375.677086,365.290616,363.783795,363.784
no_restart,MS29d,8,383.806312,365.798397,364.874937,364.875
no_restart,MS29d,9,369.603972,364.401746,364.401746,364.402
no_restart,MS2d,1,134.339263,129.6844,129.6844,128.613
no_restart,MS2d,10,141.220018,132.079613,132.079613,132.08
no_restart,MS2d,2,146.037217,130.462052,130.462052,128.277
no_restart,MS2d,3,145.62843,134.361958,131.872647,131.769
no_restart,MS2d,4,143.519542,131.332012,131.332012,131.332
no_restart,MS2d,5,142.729415,131.436213,131.436213,131.334
no_restart,MS2d,6,142.036776,133.699439,130.446771,130.447
no_restart,MS2d,7,143.577404,128.613037,128.613037,128.255
no_restart,MS2d,8,147.756603,134.783295,134.783295,134.783
no_restart,MS2d,9,136.600559,128.936691,126.746916,126.747
no_restart,MS30d,1,153.15452,137.910061,136.053725,136.054
no_restart,MS30d,10,152.125159,140.73505,139.04342,138.814
no_restart,MS30d,2,146.786559,141.084707,138.762092,138.372
no_restart,MS30d,3,149.767282,140.315419,140.255907,140.256
no_restart,MS30d,4,149.812979,142.170037,140.831203,137.922
no_restart,MS30d,5,149.908583,139.79727,138.487656,137.573
no_restart,MS30d,6,146.088158,143.533388,141.996123,141.996
no_restart,MS30d,7,151.115305,145.008802,139.122613,137.6
no_restart,MS30d,8,148.670499,142.126669,141.912455,140.823
no_restart,MS30d,9,146.672481,142.700091,139.740375,139.74
no_restart,MS31d,1,117.057148,111.500501,110.06885,108.871
no_restart,MS31d,10,124.008307,113.652121,112.525747,111.626
no_restart,MS31d,2,119.699117,109.793116,109.793116,109.793
no_restart,MS31d,3,122.052032,111.777421,110.408757,110.353
no_restart,MS31d,4,123.530251,109.869556,109.793116,109.793
no_restart,MS31d,5,115.805113,110.515815,110.515815,110.516
no_restart,MS31d,6,121.390344,111.953183,111.953183,111.953
no_restart,MS31d,7,120.234977,110.766532,110.178206,110.166
no_restart,MS31d,8,124.06749,110.970609,109.736285,109.736
no_restart,MS31d,9,117.407753,109.728664,108.697578,108.68
no_restart,MS32d,1,99.700128,97.172921,97.014847,96.6356
no_restart,MS32d,10,101.185951,96.259627,96.259627,96.2596
no_restart,MS32d,2,98.990175,96.259627,96.259627,96.2596
no_restart,MS32d,3,101.338728,97.014847,97.014847,97.0148
no_restart,MS32d,4,99.501145,96.259627,96.259627,96.2596
no_restart,MS32d,5,98.990175,97.014847,97.014847,97.0148
no_restart,MS32d,6,101.338728,96.259627,96.259627,96.2596
no_restart,MS32d,7,99.700128,96.259627,96.259627,96.2596
no_restart,MS32d,8,99.342655,97.014847,97.014847,96.6356
no_restart,MS32d,9,99.776566,97.014847,96.635581,96.6356
no_restart,MS33d,1,93.739203,92.81971,92.81971,92.8197
no_restart,MS33d,10,94.519109,92.81971,92.81971,92.8197
no_restart,MS33d,2,94.519109,92.81971,92.81971,92.8197
no_restart,MS33d,3,94.519109,92.81971,92.81971,92.8197
no_restart,MS33d,4,94.813706,92.81971,92.81971,92.8197
no_restart,MS33d,5,94.888454,92.81971,92.81971,92.8197
no_restart,MS33d,6,93.723273,92.81971,92.81971,92.8197
no_restart,MS33d,7,93.723273,92.81971,92.81971,92.8197
no_restart,MS33d,8,94.736164,92.81971,92.81971,92.8197
no_restart,MS33d,9,95.221147,92.81971,92.81971,92.8197
no_restart,MS34d,1,90.460691,88.971787,85.551481,85.5515
no_restart,MS34d,10,96.659801,84.263023,83.785232,83.7852
no_restart,MS34d,2,92.046219,85.312902,85.312902,85.3129
no_restart,MS34d,3,90.460691,87.621297,86.175031,86.175
no_restart,MS34d,4,90.460691,88.996923,88.996923,88.9969
no_restart,MS34d,5,94.309341,89.606672,85.943722,85.9437
no_restart,MS34d,6,92.326092,87.559885,84.936763,84.9368
no_restart,MS34d,7,94.839422,86.111582,86.111582,86.1116
no_restart,MS34d,8,89.805739,84.221598,84.221598,84.2216
no_restart,MS34d,9,95.534959,90.460691,89.124973,86.8936
no_restart,MS35d,1,111.999392,111.999392,103.997181,101.915
no_restart,MS35d,10,110.826809,110.826809,101.697527,100.427
no_restart,MS35d,2,112.523136,112.523136,103.167592,100.879
no_restart,MS35d,3,114.625377,114.625377,104.40799,101.704
no_restart,MS35d,4,113.85186,113.85186,104.669225,103.961
no_restart,MS35d,5,108.133227,108.133227,101.693133,99.9278
no_restart,MS35d,6,111.849139,111.849139,106.161194,99.9278
no_restart,MS35d,7,110.36598,110.36598,103.45214,103.452
no_restart,MS35d,8,111.005248,111.005248,102.555952,101.889
no_restart,MS35d,9,110.060165,110.060165,100.416517,100.417
no_restart,MS36d,1,142.871996,141.003559,140.838029,140.838
no_restart,MS36d,10,146.504814,143.009176,140.028825,138.627
no_restart,MS36d,2,143.586833,142.459944,140.76867,140.25
no_restart,MS36d,3,145.112205,142.252678,141.106489,140.682
no_restart,MS36d,4,141.713514,141.713514,139.117494,137.637
no_restart,MS36d,5,146.319993,144.125218,144.125218,140.821
no_restart,MS36d,6,146.788636,142.666242,142.521965,141.537
no_restart,MS36d,7,144.68434,142.638649,139.090804,138.74
no_restart,MS36d,8,141.005359,141.005359,139.18475,138.906
no_restart,MS36d,9,145.342047,143.707423,139.603486,139.348
no_restart,MS37d,1,141.299485,138.772164,138.614909,138.615
no_restart,MS37d,10,137.411265,134.556491,132.93741,132.937
no_restart,MS37d,2,136.670803,136.670803,136.670803,132.937
no_restart,MS37d,3,137.411265,136.943447,136.628133,136.628
no_restart,MS37d,4,137.734564,132.93741,132.93741,132.937
no_restart,MS37d,5,137.411265,135.926059,132.93741,132.937
no_restart,MS37d,6,137.411265,136.943447,136.943447,136.943
no_restart,MS37d,7,137.411265,137.411265,136.943447,134.333
no_restart,MS37d,8,137.411265,136.943447,132.93741,132.937
no_restart,MS37d,9,136.943447,136.943447,136.943447,136.943
no_restart,MS38d,1,157.519178,153.067734,151.838006,151.828
no_restart,MS38d,10,157.610433,152.368174,151.636302,151.519
no_restart,MS38d,2,155.000091,154.282425,153.00409,152.444
no_restart,MS38d,3,157.120443,153.339439,150.831873,150.832
no_restart,MS38d,4,154.752189,152.121297,152.121297,151.853
no_restart,MS38d,5,158.206239,152.338185,152.338185,152.338
no_restart,MS38d,6,155.879752,150.985959,150.831873,150.832
no_restart,MS38d,7,159.748312,152.807741,151.170888,151.171
no_restart,MS38d,8,157.554963,155.460461,154.055918,154.037
no_restart,MS38d,9,156.882796,150.685832,150.685832,150.686
no_restart,MS39d,1,217.275397,206.892497,203.089875,203.09
no_restart,MS39d,10,213.158802,208.626374,207.78213,207.782
no_restart,MS39d,2,216.143789,205.562458,203.787314,203.787
no_restart,MS39d,3,216.94919,204.284089,203.458794,200.365
no_restart,MS39d,4,213.158802,209.117679,203.116884,203.117
no_restart,MS39d,5,213.869249,204.170528,202.01144,202.011
no_restart,MS39d,6,213.170505,205.357019,205.357019,205.357
no_restart,MS39d,7,214.827329,206.420024,206.305244,205.147
no_restart,MS39d,8,214.766789,209.760096,203.939383,203.939
no_restart,MS39d,9,213.20003,206.195998,204.860902,204.861
no_restart,MS3d,1,246.211954,233.063681,233.063681,233.064
no_restart,MS3d,10,248.6418,235.415123,233.657095,233.554
no_restart,MS3d,2,242.59289,235.208662,235.208662,235.209
no_restart,MS3d,3,241.312793,234.498272,233.94498,233.945
no_restart,MS3d,4,243.391928,232.296102,232.296102,232.296
no_restart,MS3d,5,243.625966,239.292377,238.462993,238.463
no_restart,MS3d,6,249.007941,235.904182,235.904182,235.904
no_restart,MS3d,7,243.64471,233.410706,233.410706,233.411
no_restart,MS3d,8,244.033513,233.354891,233.354891,233.355
no_restart,MS3d,9,243.64471,240.162116,239.22871,239.229
no_restart,MS40d,1,245.448224,237.578598,237.578598,237.579
no_restart,MS40d,10,245.605474,239.162353,238.958216,238.242
no_restart,MS40d,2,246.116756,239.162353,238.687822,238.688
no_restart,MS40d,3,245.589412,238.006617,238.006617,238.007
no_restart,MS40d,4,241.03064,238.006617,238.006617,238.007
